"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"A2M",-0.69892846771611,-0.676472488645584,-0.576265537129603,-0.55806398064048,-0.730800382281078,-0.575714427614621,-0.507560051515207,-0.701283725326587
"AARD",0.151503215703622,0.508697954061659,0.281307754823008,0.780052930689388,2.14072212480202,2.27998028320086,1.88644657900666,2.63549047636301
"AATBC",-0.0532319663689236,-0.0216712025427328,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",0.571691458823119,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,-0.116747125484902,0.0136356181480875,0.0999695967286696,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902
"ABCC8",-0.267815155511825,-0.105667613006011,0.303728623204353,-0.238354173476146,-0.267815155511825,0.759896992348412,-0.267815155511825,-0.267815155511825
"ABCD2",-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502
"ABCG2",-0.212616100667963,-0.326549014766991,-0.101857962946393,-0.248289059979807,-0.348592372341274,-0.348592372341274,-0.332141161646395,-0.303928824533147
"ABHD17C",-0.0305202849875164,-0.242601471276368,0.184863266561536,0.372590073000465,-0.263159174349314,1.11851975879791,0.446747567783526,-0.263159174349314
"ABHD6",0.312508737147835,0.0502766522655552,0.271216033600267,0.218184979514512,-0.0218276791301056,-0.342687091564795,0.294565809876055,-0.342687091564795
"ABI3",0.00514549752340543,-0.209749894642243,-0.235428386471396,-0.184482435829923,-0.149903597847626,-0.235428386471396,-0.207471525308628,-0.235428386471396
"ACKR1",0.385919341132784,-0.140200169751002,-0.147281717520753,-0.0500453484301964,-0.147281717520753,-0.147281717520753,0.869822090253102,-0.147281717520753
"ACOT7",-0.161655408487644,0.140686443640017,0.561301875543447,0.364942544024873,0.235619854821725,-0.231125526763109,0.971726704684296,-0.0750176491797498
"ACP5",-0.1265889452272,0.0237623884341482,0.985266280470442,-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272
"ACTA1",-0.108535845884236,-0.108535845884236,-0.00115790048061293,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137
"ACY3",-0.119102625376292,-0.105330941010212,-0.119102625376292,-0.0160981221281336,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292
"ADAM21",-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727
"ADAMDEC1",-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,0.134663261845478,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639
"ADAMTS8",0.287418896680347,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198
"ADAMTSL3",-0.0283196828553728,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435
"ADAMTSL5",0.217346452588811,0.302865506779514,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222
"ADAP2",-0.233284600336063,-0.183172600428385,-0.151419420574015,-0.231374307096151,-0.236335888267399,-0.263265117600787,-0.263265117600787,-0.263265117600787
"ADGRE5",-0.219560495500957,-0.30496983822675,-0.33328960330188,-0.303435554939564,-0.33328960330188,-0.33328960330188,-0.33328960330188,0.229907449561887
"ADGRF3",-0.00232648603654746,-0.10163007333484,-0.10163007333484,-0.10163007333484,-0.10163007333484,1.14216557790934,-0.10163007333484,-0.10163007333484
"ADGRG6",-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262
"ADGRL4",0.120236636374575,-0.130436617541344,-0.0354159110120525,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344
"ADH1A",-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367
"ADIRF",0.0120132824776137,-0.161101423940124,-0.161101423940124,-0.161101423940124,0.324228858885268,-0.161101423940124,-0.161101423940124,-0.161101423940124
"ADM",-0.173714348376657,-0.403364996906449,-0.385331103659741,-0.3264890594201,-0.514421982657764,-0.354314525967441,-0.405846544758915,-0.484118087890625
"ADPRH",-0.143561520034798,0.00436676647020216,0.233598817470115,0.348838500264945,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798
"ADRA1B",-0.0574686528184145,-0.0574686528184145,0.184341765907113,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145
"ADRA2C",-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734
"AGAP1-IT1",-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973
"AGR2",-0.196911016599784,0.0478423938573728,1.03365287997533,1.18123228133558,2.07619833348084,0.710519218664612,-0.202523186321909,2.21991323718673
"AGR3",1.10932904733675,0.551191175502358,1.15592203845861,1.0430305358832,2.09562794694164,1.11684920649871,0.526435020955109,2.65823172710842
"AGRP",-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,1.36435145736122
