"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"A2M",-0.676854551724,-0.688395782271393,-0.414857496156169,-0.510034336051994,-0.730800382281078,-0.429683762280898,-0.689130215573879,-0.683408665424941,-0.685585288813257,-0.701314562208014
"AARD",0.575725949395454,0.130500993750284,-0.141941776241673,0.420169382479155,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,0.0653448374586735
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0206803217663032,0.163624130031844,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.104841902632752,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.0288202723600487,-0.143941175887982,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,-0.10261208986227,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902
"ABCC8",1.69564398138572,1.98827799601443,3.17935244981703,1.42367628085352,-0.267815155511825,1.33558802629703,0.230461547207372,0.304555220180819,0.810976893211351,0.818818233735566
"ABCD2",-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502
"ABCG2",-0.292123702813527,-0.316474479386191,-0.100861752587557,-0.303960331615624,-0.348592372341274,-0.348592372341274,-0.34201118814654,-0.241962558560885,-0.348592372341274,-0.310304293399653
