"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"A2M",-0.460697053835664,-0.702014529596916,-0.705553486894355,-0.640926911260276,-0.713906601825179,-0.696282273150949
"AARD",-0.141941776241673,-0.141941776241673,-0.10249226314715,-0.0471131468058864,-0.127228080277268,-0.0643358833963854
"AATBC",-0.0532319663689236,-0.0532319663689236,0.0384555883563329,-0.0346561188838678,-0.0532319663689236,-0.0532319663689236
"ABCA4",1.59357613044516,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,0.0532102656959645,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.0782377434128703,0.0619807260659918,-0.0768259458306485,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.0774020836640319,-0.0321719532451045,-0.116747125484902
"ABCC8",-0.267815155511825,0.0760253738266976,-0.262403421171526,-0.122241118678727,-0.237505770112451,-0.267815155511825
"ABCD2",-0.0735221782893502,-0.0735221782893502,-0.0236708762252646,-0.0735221782893502,0.663973635758118,-0.0735221782893502
"ABCG2",-0.348592372341274,-0.348592372341274,-0.334045319875258,-0.248613991971552,-0.32926102062113,-0.348592372341274
"ABHD17C",-0.263159174349314,0.850307507397042,-0.0879103279255106,-0.020235263264533,-0.263159174349314,-0.263159174349314
"ABHD6",0.0270644186630535,0.740497955860558,0.696359168662454,0.0763359519447731,0.339402129281161,0.400559775587202
"ABI3",-0.235428386471396,-0.235428386471396,-0.224017495532089,-0.0843001115503027,-0.174115149835356,-0.235428386471396
"ACKR1",-0.147281717520753,-0.147281717520753,-0.133066275117017,0.0434973444648398,-0.0319901003328563,-0.147281717520753
"ACOT7",2.38727420712123,2.38245209588726,2.15759710008843,2.15664300213015,2.03048349930193,1.62050089378195
"ACP5",0.262844717453145,-0.1265889452272,-0.100097218861582,-0.1265889452272,-0.1265889452272,-0.1265889452272
"ACTA1",-0.108535845884236,-0.108535845884236,0.0147025897352646,-0.108535845884236,-0.0982266799574125,0.141005560649184
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137
"ACY3",-0.119102625376292,-0.119102625376292,-0.114442111816199,-0.119102625376292,-0.119102625376292,-0.119102625376292
