"","timepoints1","timepoints2","timepoints7","timepoints9"
"A2M",-0.598918287546085,-0.678019942008795,-0.609549780005928,-0.63645840620217
"AARD",0.190951172997212,-0.141941776241673,1.28435475389735,-0.0779618345466699
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.00790348795266343
"ABCA4",0.730537361193053,0.407257300225733,-0.0600776840109699,0.095059463668876
"ABCB1",-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982
"ABCC13",-0.102662655249628,-0.116747125484902,-0.116747125484902,-0.116747125484902
"ABCC8",-0.254792923228581,-0.13399679528378,-0.267815155511825,-0.193083324244494
"ABCD2",0.251430150042564,-0.0735221782893502,0.830668220780841,0.0658006040833959
"ABCG2",-0.295894649023756,-0.284646684550205,-0.348592372341274,-0.343281097812158
"ABHD17C",-0.162728658638267,-0.207504380180413,-0.263159174349314,-0.263159174349314
"ABHD6",0.0244016847607546,0.170353154747903,-0.177720881950614,-0.280086837650925
"ABI3",-0.211058413123206,0.205313061540308,-0.115054338629211,-0.223270277935838
"ACKR1",-0.147281717520753,-0.147281717520753,0.160575420529866,-0.147281717520753
"ACOT7",-0.514692894596945,-0.199665881370255,-0.198032497709018,-0.242209775164643
"ACP5",-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272
"ACTA1",-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137
"ACY3",-0.0668065082901991,-0.0555215048910154,-0.119102625376292,0.746473129797202
"ADAM21",-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727
"ADAMDEC1",-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639
"ADAMTS8",-0.0712465355450198,-0.0712465355450198,1.18765928139811,-0.0712465355450198
"ADAMTSL3",-0.036260303675068,-0.0790418377514435,0.467163173147475,-0.0790418377514435
"ADAMTSL5",-0.0562876225990222,0.662018636158051,-0.0562876225990222,-0.0562876225990222
"ADAP2",-0.230719467391641,-0.263265117600787,-0.172147351493476,-0.222011101463594
"ADGRE5",-0.264559343764103,-0.141082922599294,0.103404746724658,-0.0997561261259014
"ADGRF3",-0.10163007333484,-0.0290933621994696,0.0911225095730163,0.30578005165173
"ADGRG6",0.208621916728133,0.19571269459032,1.33193811118241,-0.117757352714262
"ADGRL4",-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344
"ADH1A",-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367
"ADIRF",-0.161101423940124,-0.161101423940124,3.24236574097664,4.42551415108443
"ADM",2.1510150197403,1.5089109700892,0.766088274717273,1.83121872398887
"ADPRH",-0.143561520034798,-0.0588605128654164,-0.143561520034798,0.0217596015939233
