"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints10","timepoints11","timepoints12","timepoints13"
"A2M",-0.726492166945243,-0.648638619747974,-0.630739885872239,-0.565915082499847,-0.662531782297477,-0.604654357535871,0.0339896859467221,-0.608100903386046,-0.589406122907833,-0.636131002961671,-0.531853271924224
"AARD",-0.141941776241673,-0.105081168405914,0.119580134722458,-0.131800988424971,-0.141941776241673,-0.106860848501904,-0.141941776241673,0.440421508973223,1.91397163768014,-0.141941776241673,-0.141941776241673
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,0.717288488457279,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0600776840109699,-0.044898049807775,0.162524911529543,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.767249509903455,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,2.50647703180092,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,0.101203028229768,-0.030741888498239,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,0.248296602166172,-0.143941175887982,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,0.0202294192894465,-0.0183866065134362,-0.109793038359901,-0.0609910467520554,-0.116747125484902,-0.116747125484902,0.182537739803086,-0.116747125484902,-0.116747125484902,-0.116747125484902
"ABCC8",-0.0587628295274431,-0.0206206882355644,-0.185597113774434,-0.170865397023564,-0.267815155511825,-0.0305421244062362,-0.267815155511825,0.322922143304275,-0.267815155511825,-0.191632485765249,-0.267815155511825
"ABCD2",-0.0735221782893502,0.15805304420006,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,0.0738213124349688,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502
"ABCG2",-0.329870193150534,-0.340490025500049,-0.222278211176464,-0.25009259914956,-0.193115261862841,-0.33991687528393,-0.348592372341274,0.12243868031516,-0.348592372341274,-0.348592372341274,0.438024830947772
"ABHD17C",0.554212437096687,-0.134426018389164,0.0985892652023855,0.0416606275302285,-0.263159174349314,0.239388497086492,0.0295652561406193,0.500961227103519,-0.263159174349314,-0.263159174349314,-0.107066310431803
"ABHD6",-0.260739681950478,-0.116661490798394,-0.30670931495273,-0.104778499368763,-0.194211400313477,0.0410072384723499,-0.232876592995983,-0.113386557418922,1.41493858820079,-0.342687091564795,-0.342687091564795
"ABI3",-0.235428386471396,-0.212379728958587,-0.221532821089987,-0.235428386471396,-0.235428386471396,-0.145271652957021,-0.235428386471396,-0.187633609720784,-0.235428386471396,-0.235428386471396,-0.235428386471396
"ACKR1",-0.147281717520753,0.0891658434804046,0.0316380689705727,0.216367698162283,-0.147281717520753,0.466236103358796,-0.147281717520753,0.217143460075989,-0.147281717520753,-0.147281717520753,0.156320339575676
"ACOT7",-0.590892898466534,0.113388382474985,0.018959156079918,0.0195890146274423,0.850587481818349,0.131249379200231,0.196921850339526,0.352651240211278,0.819492753754482,1.39374762523661,0.37659174902878
"ACP5",-0.1265889452272,-0.0564088386354721,-0.0721800428160087,-0.101329005419855,-0.1265889452272,-0.1265889452272,-0.1265889452272,0.150053614585335,-0.1265889452272,-0.1265889452272,-0.1265889452272
"ACTA1",-0.108535845884236,0.11294721900161,0.00328573689281266,0.0860658334536606,-0.108535845884236,-0.108535845884236,-0.108535845884236,0.629755169618394,-0.108535845884236,0.0762103526186005,-0.108535845884236
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137
"ACY3",-0.0934354256781626,-0.119102625376292,-0.0644797424813542,-0.060032211824356,-0.119102625376292,-0.0719796170208967,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292
