"","pearson","gene","cluster"
"14",0.99,"C5orf66-AS2",1
"16",0.99,"CD19",1
"17",0.99,"CD247",1
"23",0.99,"CNTN2",1
"31",0.99,"DHRS2",1
"35",0.99,"ECEL1",1
"36",0.99,"EML2-AS1",1
"41",0.99,"FAM30A",1
"47",0.99,"FPR3",1
"50",0.99,"GALNT14",1
"55",0.99,"GPR87",1
"60",0.99,"ICOS",1
"62",0.99,"IFIT1B",1
"64",0.99,"IL33",1
"66",0.99,"ISM1",1
"67",0.99,"JCHAIN",1
"73",0.99,"LINC00189",1
"74",0.99,"LINC00861",1
"84",0.99,"MYOZ2",1
"95",0.99,"P2RY2",1
"96",0.99,"PADI2",1
"110",0.99,"RASD2",1
"111",0.99,"RELN",1
"114",0.99,"S100A2",1
"118",0.99,"SERPINA3",1
"120",0.99,"SH3BP5",1
"122",0.99,"SOX21-AS1",1
"124",0.99,"SSTR5-AS1",1
"135",0.99,"TTR",1
"137",0.99,"UPK3A",1
"138",0.99,"VNN2",1
"140",0.99,"XIRP1",1
"39",0.98,"FABP6",1
"99",0.98,"PCK1",1
"108",0.98,"PTPRZ1",1
"109",0.98,"RAD9B",1
"127",0.98,"THBD",1
"4",0.97,"ARPP21",1
"27",0.97,"CSE1L-AS1",1
"40",0.97,"FAM177B",1
"44",0.97,"FCGR1A",1
"91",0.97,"OAS1",1
"98",0.97,"PCDH19",1
"104",0.97,"PPP1R14C",1
"113",0.97,"RGS10",1
"126",0.97,"TG",1
"1",0.96,"ABCC12",1
"115",0.96,"SCIMP",1
"15",0.95,"CARNMT1",1
"33",0.95,"DOCK9-DT",1
"97",0.95,"PALMD",1
"9",0.94,"C1QA",1
"59",0.94,"HSPB3",1
"139",0.94,"WNT4",1
"25",0.93,"CRYBA2",1
"38",0.93,"EVI2A",1
"42",0.93,"FAM86B3P",1
"85",0.93,"NAMA",1
"89",0.93,"NPW",1
"5",0.92,"ASB4",1
"7",0.92,"BABAM2-AS1",1
"11",0.91,"C1QC",1
"54",0.91,"GIMAP4",1
"56",0.91,"HLA-DQB1",1
"83",0.91,"MYO1G",1
"102",0.91,"PHLDA2",1
"3",0.9,"ANKRD9",1
"61",0.9,"IFI6",1
"93",0.9,"ODF3B",1
"121",0.9,"SIGLEC1",1
"26",0.89,"CRYBB1",1
"71",0.89,"KLRB1",1
"119",0.89,"SH3BP1",1
"70",0.88,"KLHL41",1
"101",0.88,"PDLIM3",1
"100",0.87,"PCSK1",1
"123",0.87,"SPINK2",1
"18",0.86,"CD33",1
"81",0.86,"MS4A4A",1
"82",0.86,"MX2",1
"19",0.85,"CEACAM1",1
"29",0.85,"CSHL1",1
"49",0.85,"GAD2",1
"77",0.85,"LRRTM3",1
"92",0.85,"OBSCN",1
"106",0.85,"PRL",1
"78",0.84,"LY86",1
"117",0.84,"SERPINA1",1
"46",0.83,"FKBP11",1
"116",0.83,"SCNN1G",1
"125",0.83,"STAB1",1
"133",0.83,"TSLP",1
"53",0.82,"GEM",1
"63",0.82,"IL10",1
"86",0.82,"NDUFA4L2",1
"34",0.81,"DUSP2",1
"51",0.81,"GAREM1",1
"2",0.8,"ADIRF",1
"80",0.8,"MICAL2",1
"107",0.8,"PTPRN",1
"65",0.79,"ISG15",1
"79",0.79,"MCEMP1",1
"105",0.79,"PRDM1",1
"130",0.79,"TMEM86B",1
"8",0.78,"C1orf162",1
"28",0.77,"CSF1R",1
"37",0.77,"EPSTI1",1
"75",0.75,"LINC00996",1
"87",0.75,"NEAT1",1
"10",0.74,"C1QB",1
"45",0.74,"FCGR3A",1
"136",0.74,"TYROBP",1
"58",0.73,"HNMT",1
"68",0.73,"KCNK3",1
"6",0.71,"AZU1",1
"48",0.71,"FSD1L",1
"13",0.7,"C3AR1",1
"76",0.7,"LPL",1
"94",0.69,"OTOS",1
"21",0.68,"CLEC4F",1
"43",0.68,"FCER1G",1
"72",0.68,"LILRB2",1
"90",0.68,"NR4A2",1
"57",0.67,"HMOX1",1
"128",0.67,"TIMP1",1
"134",0.67,"TSPAN32",1
"88",0.66,"NPAS4",1
"112",0.65,"RFX8",1
"32",0.64,"DNASE1L3",1
"131",0.64,"TREM2",1
"132",0.64,"TRPC4",1
"22",0.61,"CNRIP1",1
"24",0.61,"CPVL",1
"12",0.6,"C2CD4A",1
"20",0.58,"CHGB",1
"30",0.57,"CST3",1
"52",0.53,"GATA2",1
"69",0.52,"KDELR3",1
"129",0.49,"TMEM190",1
"103",0.47,"PLD3",1
"421",1,"CX3CR1",2
"861",1,"KIF14",2
"162",1,"WFIKKN2",2
"410",0.99,"AJAP1",2
"1410",0.99,"C9orf47",2
"1510",0.99,"CA4",2
"171",0.99,"CCR2",2
"191",0.99,"CD1E",2
"261",0.99,"CETP",2
"331",0.99,"CLEC14A",2
"401",0.99,"CTRL",2
"471",0.99,"DLX2",2
"501",0.99,"EDN3",2
"531",0.99,"EMX2",2
"631",0.99,"GAPDHS",2
"651",0.99,"GSTA1",2
"671",0.99,"H2BC13",2
"681",0.99,"HBBP1",2
"801",0.99,"IL1R2",2
"841",0.99,"INHBB",2
"931",0.99,"MAP3K19",2
"941",0.99,"MESP2",2
"971",0.99,"MPIG6B",2
"1021",0.99,"PADI4",2
"1061",0.99,"PCDH7",2
"1151",0.99,"PLEKHH2",2
"1221",0.99,"PTAFR",2
"1251",0.99,"RHOV",2
"1401",0.99,"SMOC1",2
"145",0.99,"STMN4",2
"149",0.99,"TDO2",2
"150",0.99,"TFAP2B",2
"155",0.99,"TMEM233",2
"157",0.99,"TNFAIP8L2",2
"158",0.99,"TNFRSF4",2
"164",0.99,"ZNF385C",2
"165",0.99,"ZNF556",2
"1310",0.98,"BGN",2
"221",0.98,"CDHR3",2
"491",0.98,"E2F3",2
"731",0.98,"IFI44L",2
"831",0.98,"INCENP",2
"991",0.98,"NANOS2",2
"1041",0.98,"PCAT19",2
"1121",0.98,"PIP5K1B",2
"1241",0.98,"RBM38",2
"1261",0.98,"RNASE6",2
"146",0.98,"STYX",2
"210",0.97,"ADGRF3",2
"167",0.97,"CCNA2",2
"271",0.97,"CFH",2
"321",0.97,"CLEC10A",2
"351",0.97,"CLECL1",2
"511",0.97,"EDNRA",2
"551",0.97,"FABP3",2
"661",0.97,"GYPC",2
"691",0.97,"HCAR2",2
"721",0.97,"HLA-DRB5",2
"1131",0.97,"PLAT",2
"1161",0.97,"PLVAP",2
"1171",0.97,"PLXDC1",2
"1191",0.97,"PRKCB",2
"1291",0.97,"S100A12",2
"1311",0.97,"SAA1",2
"1341",0.97,"SH2D6",2
"1351",0.97,"SHCBP1",2
"1381",0.97,"SLC7A5P2",2
"561",0.96,"FBXO5",2
"581",0.96,"FLRT2",2
"641",0.96,"GAS1",2
"851",0.96,"KDR",2
"1051",0.96,"PCDH17",2
"1081",0.96,"PDE4B",2
"1281",0.96,"RRAD",2
"1301",0.96,"S100A4",2
"148",0.96,"TAMALIN",2
"153",0.96,"THBS4",2
"391",0.95,"CPED1",2
"461",0.95,"DHRS9",2
"591",0.95,"FMN1",2
"601",0.95,"GAD1",2
"911",0.95,"LSP1",2
"1211",0.95,"PRSS35",2
"168",0.94,"ADAMTSL5",2
"910",0.94,"ASGR2",2
"1110",0.94,"AURKA",2
"181",0.94,"CD1C",2
"741",0.94,"IFIH1",2
"791",0.94,"IL17RD",2
"901",0.94,"LPCAT2",2
"921",0.94,"LUM",2
"951",0.94,"MKI67",2
"961",0.94,"MNDA",2
"1321",0.94,"SELENBP1",2
"621",0.93,"GALC",2
"154",0.93,"TLR7",2
"510",0.92,"ANGPTL1",2
"341",0.92,"CLEC3B",2
"1031",0.92,"PARPBP",2
"1361",0.92,"SLC25A39",2
"161",0.92,"WDFY4",2
"481",0.91,"E2F2",2
"521",0.91,"ELF3",2
"1011",0.91,"NES",2
"1331",0.91,"SFRP1",2
"144",0.91,"SPC25",2
"810",0.9,"ARHGDIB",2
"711",0.9,"HLA-DQA1",2
"231",0.89,"CEBPA",2
"381",0.89,"COLEC11",2
"1071",0.89,"PCOLCE-AS1",2
"1141",0.89,"PLCB2",2
"1371",0.89,"SLC7A11",2
"166",0.89,"ZNF804A",2
"201",0.88,"CD4",2
"811",0.88,"IL32",2
"891",0.88,"LINC01607",2
"152",0.88,"TGFBI",2
"610",0.87,"ARHGAP15",2
"281",0.87,"CFP",2
"371",0.87,"COL6A3",2
"571",0.87,"FILIP1",2
"1391",0.87,"SLPI",2
"1210",0.85,"BACH2",2
"751",0.85,"IFITM1",2
"771",0.85,"IFITM3",2
"1181",0.85,"PON1",2
"1091",0.84,"PDGFRB",2
"311",0.83,"CLDN5",2
"710",0.82,"ARHGAP19",2
"1010",0.82,"ATAD5",2
"431",0.82,"CYB5D2",2
"1101",0.82,"PDLIM1",2
"142",0.82,"SPACA6",2
"160",0.82,"TUBB6",2
"310",0.81,"ADGRG6",2
"1271",0.81,"RNF149",2
"143",0.81,"SPAG5",2
"163",0.81,"ZBTB16",2
"541",0.8,"ESPL1",2
"761",0.8,"IFITM2",2
"361",0.79,"CNNM1",2
"451",0.79,"CYTIP",2
"981",0.79,"MUC15",2
"821",0.78,"IL6R",2
"141",0.78,"SOX2",2
"781",0.77,"IGSF6",2
"251",0.76,"CERNA1",2
"151",0.76,"TFPI2",2
"291",0.74,"CHMP4B",2
"1111",0.73,"PIMREG",2
"1201",0.73,"PRKCQ-AS1",2
"301",0.72,"CKB",2
"611",0.72,"GAL",2
"701",0.72,"HLA-DPB1",2
"147",0.72,"SUSD3",2
"881",0.7,"LHX3",2
"156",0.69,"TMEM273",2
"211",0.68,"CD48",2
"441",0.68,"CYBA",2
"871",0.67,"KRT19",2
"241",0.64,"CENPF",2
"1001",0.61,"NEFL",2
"411",0.59,"CTSV",2
"1231",0.55,"QPCT",2
"159",0.53,"TUBB2B",2
"412",0.99,"ADRA1B",3
"1012",0.99,"ARHGAP11B",3
"1312",0.99,"BDKRB2",3
"1411",0.99,"C11orf16",3
"172",0.99,"CARTPT",3
"192",0.99,"CD177",3
"222",0.99,"CEACAM3",3
"232",0.99,"CEACAM8",3
"272",0.99,"CLDN2",3
"282",0.99,"CLEC5A",3
"302",0.99,"COL19A1",3
"312",0.99,"COL20A1",3
"322",0.99,"COL8A1",3
"342",0.99,"CRISP3",3
"422",0.99,"DEFA4",3
"472",0.99,"FEZF1",3
"492",0.99,"FPR2",3
"502",0.99,"GFI1B",3
"542",0.99,"GOLGA6L2",3
"552",0.99,"GP5",3
"572",0.99,"GRB14",3
"642",0.99,"KCNJ15",3
"652",0.99,"KEL",3
"662",0.99,"KRTAP24-1",3
"682",0.99,"LCP2",3
