"","pearson","gene","cluster"
"33",0.99,"FOLR2",1
"57",0.99,"NCAPH",1
"62",0.99,"PDLIM3",1
"2",0.98,"ANK1",1
"42",0.98,"KDR",1
"4",0.96,"ATAD2",1
"24",0.96,"COL14A1",1
"28",0.96,"ECT2",1
"44",0.96,"LAP3",1
"58",0.96,"NEURL2",1
"66",0.96,"RPL13P5",1
"19",0.95,"CHAMP1",1
"16",0.94,"CENPF",1
"35",0.94,"GATA2",1
"37",0.94,"GLRX",1
"46",0.94,"LGALS9",1
"55",0.94,"MNDA",1
"68",0.94,"SERPINA3",1
"69",0.94,"SFRP2",1
"73",0.94,"TEX15",1
"11",0.93,"CCL2",1
"14",0.93,"CD37",1
"52",0.93,"LTC4S",1
"63",0.93,"PIK3R5",1
"5",0.92,"BHLHE41",1
"15",0.92,"CD55",1
"17",0.92,"CENPK",1
"22",0.92,"CLEC4E",1
"31",0.92,"FANCD2",1
"32",0.92,"FGF18",1
"50",0.92,"LMO2",1
"60",0.92,"PCAT19",1
"61",0.92,"PCDHA10",1
"13",0.91,"CD163L1",1
"26",0.91,"CXCL1",1
"36",0.91,"GH2",1
"51",0.91,"LTB",1
"64",0.91,"PLSCR2",1
"75",0.91,"TNFSF10",1
"10",0.9,"CCDC170",1
"20",0.9,"CITED1",1
"56",0.9,"MT3",1
"72",0.9,"TDO2",1
"3",0.89,"ASPM",1
"21",0.89,"CKAP2L",1
"34",0.89,"FOXG1",1
"49",0.89,"LIX1",1
"70",0.89,"SOX2",1
"74",0.89,"TNFRSF4",1
"12",0.88,"CCNA2",1
"8",0.87,"C2CD4A",1
"39",0.86,"HNMT",1
"40",0.86,"HSPB1",1
"54",0.85,"MAFF",1
"6",0.84,"BIN2",1
"27",0.84,"DHFR",1
"29",0.84,"EPHA5",1
"59",0.84,"NRN1L",1
"1",0.83,"AIF1",1
"77",0.83,"VMO1",1
"65",0.82,"PTPN6",1
"67",0.82,"S100A11",1
"41",0.81,"IGFBP5",1
"71",0.8,"SSR4",1
"30",0.77,"FAM122B",1
"45",0.77,"LGALS3",1
"18",0.76,"CGA",1
"7",0.75,"C1QA",1
"25",0.75,"CTSS",1
"38",0.74,"HMGA2",1
"43",0.71,"KLHL31",1
"76",0.68,"TUBA1C",1
"23",0.67,"CMYA5",1
"9",0.65,"CADM2",1
"47",0.63,"LHB",1
"53",0.63,"LXN",1
"48",0.59,"LINC00473",1
"510",1,"BATF3",2
"78",1,"C1orf162",2
"251",1,"GOLGA8IP",2
"261",1,"GRK5",2
"361",1,"MX2",2
"731",1,"TTYH1",2
"211",0.99,"FCN1",2
"231",0.99,"GIMAP4",2
"311",0.99,"ITGB2-AS1",2
"381",0.99,"P2RX1",2
"471",0.99,"PPP1R17",2
"481",0.99,"PPP1R1C",2
"501",0.99,"PTHLH",2
"701",0.99,"TK1",2
"321",0.98,"ITPR2",2
"461",0.98,"PPP1R14C",2
"511",0.98,"PUS1",2
"521",0.98,"RDH12",2
"531",0.98,"RETN",2
"111",0.97,"CBLN2",2
"121",0.97,"CD84",2
"171",0.97,"CRYBB1",2
"131",0.96,"CLECL1",2
"141",0.96,"CORO1A",2
"341",0.96,"LINC00269",2
"351",0.96,"MBNL3",2
"271",0.95,"HCK",2
"681",0.95,"TIAM1",2
"711",0.95,"TNFAIP2",2
"391",0.94,"PART1",2
"651",0.94,"TBX19",2
"721",0.94,"TSPAN32",2
"151",0.93,"COX6A2",2
"221",0.93,"FGL2",2
"91",0.92,"C3AR1",2
"161",0.92,"CRYBA2",2
"241",0.92,"GNG8",2
"110",0.91,"ANGPT2",2
"331",0.91,"LILRB2",2
"291",0.9,"IL10RA",2
"411",0.9,"PDLIM1",2
"661",0.9,"TBX3",2
"201",0.89,"FCER1G",2
"371",0.88,"OR7D2",2
"561",0.88,"SERPINB1",2
"491",0.86,"PRL",2
"101",0.85,"C9orf24",2
"181",0.84,"EGFL6",2
"431",0.84,"PLD4",2
"591",0.84,"SP2-AS1",2
"441",0.83,"POMC",2
"571",0.83,"SMC2",2
"191",0.82,"FALEC",2
"691",0.82,"TIMP1",2
"610",0.81,"BIRC3",2
"210",0.8,"ANLN",2
"310",0.8,"ARL6IP1",2
"611",0.8,"SRSF8",2
"621",0.8,"STC1",2
"631",0.8,"STX11",2
"671",0.8,"TDRD9",2
"410",0.78,"ATP6V1B1",2
"301",0.78,"ITGB2",2
"421",0.76,"PLD3",2
"601",0.76,"SPON1",2
"81",0.75,"C21orf62",2
"401",0.74,"PCLAF",2
"451",0.66,"POU1F1",2
"551",0.64,"SCN3A",2
"641",0.63,"TAGLN3",2
"541",0.62,"S100A4",2
"581",0.62,"SOX3",2
"281",0.56,"HLA-DMA",2
"149",1,"ABCB1",3
"710",1,"ADGRG6",3
"810",1,"ADGRL4",3
"910",1,"ANGPTL1",3
"1010",1,"APOBEC3A",3
"1110",1,"AQP4",3
"1210",1,"ARHGAP11B",3
"1310",1,"B4GALT1-AS1",3
"152",1,"BARX2",3
"162",1,"BATF",3
"172",1,"BCAN",3
"182",1,"BNIP5",3
"192",1,"BSN-DT",3
"212",1,"C9orf92",3
"262",1,"CD5L",3
"282",1,"CDH26",3
"292",1,"CEACAM1",3
"302",1,"CENPA",3
"322",1,"CLEC14A",3
"332",1,"CLIC2",3
"342",1,"CNMD",3
"392",1,"CRH",3
"402",1,"CRYBG3",3
"412",1,"CRYGA",3
"422",1,"CTRL",3
"432",1,"CXCR2P1",3
"452",1,"CYP2B7P",3
"472",1,"DHRS7C",3
"482",1,"DHRS9",3
"492",1,"DIRC1",3
"502",1,"DLX6-AS1",3
"542",1,"ESCO2",3
"582",1,"FFAR3",3
"602",1,"FOXP2",3
"622",1,"GASK1A",3
"632",1,"GDF3",3
"652",1,"GOLGA6L2",3
"662",1,"GPIHBP1",3
"692",1,"HAPLN3",3
"712",1,"HHIP",3
"741",1,"IFIT3",3
"761",1,"IL21R",3
"771",1,"JCHAIN",3
"781",1,"KCNK17",3
"80",1,"KRTAP12-1",3
"82",1,"LINC02872",3
"83",1,"LMX1A",3
"85",1,"MCEMP1",3
"86",1,"MIR924HG",3
"87",1,"MMRN1",3
"89",1,"MT1G",3
"92",1,"OLR1",3
"94",1,"OPCML",3
"95",1,"OTOA",3
"96",1,"OVOL3",3
"98",1,"PCOLCE-AS1",3
"99",1,"PCSK9",3
"1011",1,"PELATON",3
"102",1,"PGLYRP1",3
"104",1,"POF1B",3
"106",1,"POU3F2",3
"109",1,"PRPH",3
"112",1,"ROBO4",3
"113",1,"RTN4RL1",3
"114",1,"RTP4",3
"115",1,"S100A12",3
"117",1,"SCRG1",3
"118",1,"SERPINA5",3
"119",1,"SHCBP1",3
"1211",1,"SLC7A11",3
"122",1,"SLCO1C1",3
"123",1,"SOX21",3
