"","pearson","gene","cluster"
"19",0.98,"CXCL8",1
"58",0.97,"PLAUR",1
"39",0.96,"IFITM2",1
"46",0.96,"LST1",1
"9",0.95,"CCL3",1
"38",0.95,"HLA-E",1
"43",0.95,"IRF1",1
"72",0.95,"TNFAIP3",1
"10",0.94,"CCL4",1
"21",0.94,"DHRS2",1
"34",0.94,"GYPB",1
"48",0.94,"MAFF",1
"74",0.94,"TYROBP",1
"76",0.94,"ZNF331",1
"26",0.93,"FILIP1L",1
"54",0.93,"NR4A3",1
"55",0.93,"NUPR1",1
"11",0.92,"CD53",1
"42",0.92,"INHBB",1
"47",0.92,"LTC4S",1
"51",0.92,"MSR1",1
"22",0.91,"DRC7",1
"41",0.91,"IL1B",1
"56",0.91,"OLIG1",1
"67",0.91,"SERPINA1",1
"1",0.9,"AIF1",1
"16",0.9,"COL6A3",1
"18",0.89,"CXCL3",1
"24",0.89,"FCGR2A",1
"35",0.88,"HBEGF",1
"60",0.88,"PPIF",1
"73",0.88,"TTK",1
"7",0.86,"C1QA",1
"8",0.86,"CACNA1B",1
"15",0.86,"CLDN5",1
"65",0.86,"SAMSN1",1
"31",0.85,"GBP2",1
"64",0.85,"S100A10",1
"12",0.84,"CD69",1
"53",0.84,"NFKBIZ",1
"57",0.84,"PEX5",1
"59",0.84,"PMAIP1",1
"27",0.83,"FOSB",1
"37",0.83,"HLA-DRA",1
"62",0.83,"RGCC",1
"70",0.83,"TFRC",1
"25",0.81,"FCGR3A",1
"71",0.81,"TM4SF1",1
"29",0.8,"GAD2",1
"33",0.8,"GNAS",1
"5",0.78,"BCL2A1",1
"36",0.78,"HLA-DPB1",1
"69",0.78,"TCEAL6",1
"23",0.76,"FCER1G",1
"61",0.76,"RAMP2",1
"68",0.76,"SPARCL1",1
"14",0.75,"CENPF",1
"32",0.75,"GJA1",1
"2",0.73,"ALAS2",1
"45",0.72,"LRP5",1
"30",0.7,"GADD45B",1
"3",0.69,"ARG2",1
"13",0.69,"CD74",1
"4",0.68,"ATXN3",1
"49",0.68,"MCFD2",1
"44",0.67,"ITGB2",1
"50",0.66,"METRNL",1
"6",0.65,"C1orf122",1
"40",0.64,"IGFBP6",1
"75",0.64,"VIM",1
"17",0.61,"CRYBG3",1
"20",0.61,"CYBB",1
"28",0.6,"FOXK1",1
"52",0.58,"NENF",1
"66",0.53,"SEMA3C",1
"63",0.5,"RNF149",1
"231",0.95,"GNG11",2
"471",0.95,"RNASE6",2
"81",0.94,"CAD",2
"181",0.94,"CSF3R",2
"421",0.94,"PLCE1",2
"461",0.94,"RHOV",2
"621",0.94,"ZNF704",2
"410",0.93,"ASPM",2
"91",0.93,"CAVIN2",2
"341",0.93,"IGFBP7",2
"201",0.91,"FOLR1",2
"281",0.9,"HBB",2
"431",0.9,"PLXND1",2
"77",0.89,"C1QC",2
"371",0.89,"LRRC58",2
"121",0.88,"CCNB1",2
"551",0.88,"TGM2",2
"591",0.88,"VGF",2
"381",0.87,"LYZ",2
"501",0.87,"SOX2",2
"510",0.86,"B2M",2
"251",0.86,"GPR34",2
"331",0.86,"IER3",2
"310",0.85,"ARHGDIB",2
"131",0.85,"CD163",2
"321",0.85,"HNMT",2
"491",0.85,"SGK1",2
"171",0.83,"CPVL",2
"511",0.83,"SRGN",2
"601",0.83,"ZFAND2A",2
"221",0.82,"GNAI2",2
"301",0.8,"HBG2",2
"311",0.8,"HLA-DRB5",2
"271",0.79,"HBA2",2
"210",0.78,"AGXT",2
"101",0.77,"CCDC88A",2
"351",0.77,"IL17RB",2
"571",0.77,"TPM2",2
"611",0.77,"ZNF347",2
"261",0.76,"HBA1",2
"151",0.75,"CLU",2
"141",0.74,"CLIC4",2
"610",0.71,"BACE2",2
"291",0.71,"HBG1",2
"541",0.71,"TFPI",2
"411",0.69,"NOSTRIN",2
"481",0.69,"SELENBP1",2
"531",0.69,"TACC3",2
"161",0.64,"COL5A2",2
"441",0.64,"RBBP8",2
"391",0.63,"MGP",2
"521",0.6,"STX2",2
"451",0.57,"RGS2",2
"561",0.55,"TIMP1",2
"111",0.52,"CCL5",2
"401",0.52,"MKI67",2
