"","pearson","gene","cluster"
"80",0.98,"MS4A6A",1
"57",0.97,"IL10RA",1
"117",0.97,"TYROBP",1
"24",0.96,"CSF3R",1
"41",0.96,"FCER1G",1
"79",0.96,"MS4A4A",1
"86",0.96,"NCF4",1
"8",0.95,"C1QB",1
"50",0.94,"HLA-DMB",1
"7",0.93,"C1QA",1
"12",0.93,"CD163",1
"43",0.93,"FOLR2",1
"60",0.93,"ITGB2",1
"78",0.93,"MRC1",1
"107",0.93,"SRGN",1
"11",0.92,"CD14",1
"40",0.92,"FAM122B",1
"64",0.92,"LAPTM5",1
"3",0.91,"ARHGAP15",1
"28",0.91,"CYB561",1
"42",0.91,"FGL2",1
"48",0.91,"GNAI2",1
"52",0.91,"HLA-DQA1",1
"15",0.9,"CD86",1
"45",0.9,"GATA2",1
"85",0.9,"MYOZ2",1
"119",0.9,"VSIG4",1
"55",0.89,"IER5",1
"83",0.89,"MX1",1
"94",0.89,"PLAU",1
"105",0.89,"SILC1",1
"9",0.88,"C2CD4A",1
"34",0.88,"DLGAP5",1
"51",0.87,"HLA-DPB1",1
"58",0.87,"IL1RN",1
"22",0.86,"CRYBG3",1
"25",0.86,"CTSS",1
"38",0.86,"EVI2A",1
"53",0.86,"HNMT",1
"72",0.86,"LYZ",1
"112",0.86,"THEMIS2",1
"115",0.86,"TMEM273",1
"2",0.85,"AIF1",1
"18",0.85,"CHMP4B",1
"23",0.85,"CSF1R",1
"31",0.85,"CYTIP",1
"73",0.85,"MAF",1
"77",0.85,"MPEG1",1
"96",0.85,"PTPRC",1
"104",0.85,"SIGLEC1",1
"30",0.84,"CYTH4",1
"35",0.84,"DOK2",1
"81",0.84,"MS4A7",1
"88",0.84,"NEFM",1
"89",0.84,"NPTX2",1
"4",0.83,"ATOH7",1
"27",0.82,"CXCR4",1
"36",0.82,"DPEP2",1
"39",0.82,"F13A1",1
"97",0.82,"PYY2",1
"16",0.81,"CEMIP",1
"84",0.81,"MYO1F",1
"102",0.81,"SEMA3C",1
"106",0.81,"SLCO2B1",1
"66",0.8,"LILRB2",1
"87",0.8,"NEFL",1
