"","pearson","gene","cluster"
"37",0.98,"GPR171",1
"32",0.97,"FGF13-AS1",1
"53",0.97,"MIR924HG",1
"55",0.97,"MSX2P1",1
"60",0.97,"P2RY13",1
"85",0.97,"TRIM10",1
"8",0.96,"BRDTP1",1
"9",0.96,"C1orf94",1
"45",0.96,"KRTDAP",1
"52",0.96,"MIP",1
"57",0.96,"NKAIN3",1
"58",0.96,"NOD2",1
"59",0.96,"OR13C5",1
"79",0.96,"SLFN14",1
"29",0.95,"ERFE",1
"36",0.95,"GP5",1
"42",0.95,"KLK12",1
"88",0.94,"VSTM2A",1
"1",0.92,"ABCD2",1
"19",0.92,"CHST9",1
"50",0.92,"LINC00908",1
"69",0.92,"PLP1",1
"73",0.91,"PRKCQ-AS1",1
"51",0.9,"MICAL2",1
"66",0.9,"PIK3C2G",1
"84",0.9,"TPD52L1",1
"18",0.89,"CHRNB4",1
"49",0.89,"LINC00861",1
"13",0.88,"CD160",1
"35",0.88,"GINS2",1
"48",0.88,"LINC00337",1
"54",0.87,"MPIG6B",1
"75",0.87,"RETN",1
"39",0.86,"HAPLN3",1
"41",0.84,"IL1R2",1
"27",0.81,"ENO3",1
"63",0.81,"PCDHA10",1
"81",0.81,"SNORA14B",1
"72",0.8,"PRELP",1
"77",0.79,"SIRT7",1
"17",0.77,"CFAP92",1
"26",0.77,"DNM3-IT1",1
"38",0.77,"GPR84",1
"16",0.76,"CENPK",1
"43",0.76,"KRT19",1
"47",0.76,"LGALS14",1
"33",0.75,"FPR1",1
"2",0.73,"AGXT",1
"20",0.73,"CLSPN",1
"5",0.72,"ART3",1
"71",0.72,"POU1F1",1
"74",0.72,"PRSS35",1
"82",0.72,"TIGD5",1
"70",0.71,"PON1",1
"78",0.71,"SLCO2A1",1
"31",0.7,"FAM86B3P",1
"62",0.7,"PASK",1
"28",0.68,"EPCAM",1
"76",0.67,"RNASEH2A",1
"61",0.65,"PART1",1
"67",0.64,"PLA2G1B",1
"7",0.62,"BPGM",1
"15",0.62,"CDCA7L",1
"21",0.62,"CRNDE",1
"89",0.62,"ZBTB16",1
"11",0.61,"CALB1",1
"14",0.61,"CD84",1
"34",0.61,"GAP43",1
"68",0.61,"PLEKHH2",1
"10",0.59,"C4orf48",1
"40",0.59,"HTATSF1",1
"80",0.58,"SMIM4",1
"87",0.58,"VIPR1",1
"46",0.57,"LARP1B",1
"90",0.57,"ZNF324B",1
"23",0.55,"CYB5D2",1
"83",0.54,"TLR4",1
"6",0.53,"BMP8A",1
"56",0.53,"NFE2",1
"86",0.53,"UROD",1
"4",0.52,"ANGPT2",1
"12",0.51,"CAMTA2",1
"65",0.48,"PEG10",1
"44",0.47,"KRTCAP2",1
"64",0.46,"PCNA",1
"24",0.45,"DIO2",1
"3",0.44,"ALDH1A1",1
"30",0.44,"FAM81A",1
"22",0.37,"CXCL14",1
"25",0.28,"DLK1",1
"141",0.95,"CHGB",2
"361",0.94,"HS3ST1",2
"671",0.93,"SELENOM",2
"321",0.91,"GIMAP8",2
